timestamp,velocity_mps,steering_angle_rad,steering_angle_deg
1772908009.884199,0.13,-0.5235987755982988,-29.999999999999996
1772908009.9222834,0.13,-0.5235987755982988,-29.999999999999996
1772908009.964526,0.13,-0.5235987755982988,-29.999999999999996
1772908009.9957666,0.13,-0.5235987755982988,-29.999999999999996
1772908010.0382693,0.13,-0.5235987755982988,-29.999999999999996
1772908010.0570347,0.13,-0.5235987755982988,-29.999999999999996
1772908010.091791,0.13,-0.5235987755982988,-29.999999999999996
1772908010.1206436,0.13,-0.5235987755982988,-29.999999999999996
1772908010.143404,0.13,-0.5235987755982988,-29.999999999999996
1772908010.161576,0.13,-0.5235987755982988,-29.999999999999996
1772908010.1849954,0.13,-0.5235987755982988,-29.999999999999996
1772908010.2312672,0.13,-0.5235987755982988,-29.999999999999996
1772908010.2726593,0.13,-0.5235987755982988,-29.999999999999996
1772908010.300986,0.13,-0.5235987755982988,-29.999999999999996
1772908010.334517,0.13,-0.5235987755982988,-29.999999999999996
1772908010.349413,0.13,-0.5235987755982988,-29.999999999999996
1772908010.3668144,0.13,-0.5235987755982988,-29.999999999999996
1772908010.3901956,0.13,-0.5235987755982988,-29.999999999999996
1772908010.4830754,0.13,-0.5235987755982988,-29.999999999999996
1772908010.550692,0.13,-0.5235987755982988,-29.999999999999996
1772908010.6113203,0.13,-0.5235987755982988,-29.999999999999996
1772908010.6499898,0.13,-0.5235987755982988,-29.999999999999996
1772908010.7598274,0.13,-0.5235987755982988,-29.999999999999996
1772908010.8274505,0.13,-0.5235987755982988,-29.999999999999996
1772908010.8799553,0.13,-0.5235987755982988,-29.999999999999996
1772908010.9055574,0.13,-0.5235987755982988,-29.999999999999996
1772908010.993066,0.13,-0.5235987755982988,-29.999999999999996
1772908011.0221684,0.13,-0.5235987755982988,-29.999999999999996
1772908011.0837598,0.13,-0.5235987755982988,-29.999999999999996
1772908011.116103,0.13,-0.5235987755982988,-29.999999999999996
1772908011.1427152,0.13,-0.5235987755982988,-29.999999999999996
1772908011.1936295,0.13,-0.5235987755982988,-29.999999999999996
1772908011.2441826,0.13,-0.5235987755982988,-29.999999999999996
1772908011.2886333,0.13,-0.5235987755982988,-29.999999999999996
1772908011.3106475,0.13,-0.5235987755982988,-29.999999999999996
1772908011.3669043,0.13,-0.5235987755982988,-29.999999999999996
1772908011.4159853,0.13,-0.5235987755982988,-29.999999999999996
1772908011.5078993,0.13,-0.5235987755982988,-29.999999999999996
1772908011.5394397,0.13,-0.5235987755982988,-29.999999999999996
1772908011.5807335,0.13,-0.5235987755982988,-29.999999999999996
1772908011.6687582,0.13,-0.5235987755982988,-29.999999999999996
1772908011.7057996,0.13,-0.5235987755982988,-29.999999999999996
1772908011.7563603,0.13,-0.5235987755982988,-29.999999999999996
1772908011.7814572,0.13,-0.5235987755982988,-29.999999999999996
1772908011.8235707,0.13,-0.5235987755982988,-29.999999999999996
1772908011.841975,0.13,-0.5235987755982988,-29.999999999999996
1772908011.8598895,0.13,-0.5235987755982988,-29.999999999999996
1772908011.8870127,0.13,-0.5235987755982988,-29.999999999999996
1772908011.9263387,0.13,-0.5235987755982988,-29.999999999999996
1772908011.954745,0.13,-0.5235987755982988,-29.999999999999996
1772908011.9844806,0.13,-0.5235987755982988,-29.999999999999996
1772908012.0066793,0.13,-0.5235987755982988,-29.999999999999996
1772908012.0426419,0.13,-0.5235987755982988,-29.999999999999996
1772908012.0586884,0.13,-0.5235987755982988,-29.999999999999996
1772908012.0814834,0.13,-0.5235987755982988,-29.999999999999996
1772908012.1081705,0.13,-0.5235987755982988,-29.999999999999996
1772908012.1344943,0.13,-0.5235987755982988,-29.999999999999996
1772908012.1541722,0.13,-0.5235987755982988,-29.999999999999996
1772908012.1700244,0.13,-0.5235987755982988,-29.999999999999996
1772908012.1855981,0.13,-0.5235987755982988,-29.999999999999996
1772908012.2078416,0.13,-0.5235987755982988,-29.999999999999996
1772908012.2541692,0.13,-0.5235987755982988,-29.999999999999996
1772908012.2795541,0.13,-0.5235987755982988,-29.999999999999996
1772908012.2983148,0.13,-0.5235987755982988,-29.999999999999996
1772908012.3137221,0.13,-0.5235987755982988,-29.999999999999996
1772908012.3434854,0.13,-0.5235987755982988,-29.999999999999996
1772908012.3683407,0.13,-0.5235987755982988,-29.999999999999996
1772908012.4168253,0.13,-0.5235987755982988,-29.999999999999996
1772908012.4668174,0.13,-0.5235987755982988,-29.999999999999996
1772908012.4925978,0.13,-0.5235987755982988,-29.999999999999996
1772908012.5201466,0.13,-0.5235987755982988,-29.999999999999996
1772908012.5387616,0.13,-0.5235987755982988,-29.999999999999996
1772908012.557442,0.13,-0.5235987755982988,-29.999999999999996
1772908012.5718582,0.13,-0.5235987755982988,-29.999999999999996
1772908012.5959535,0.13,-0.5235987755982988,-29.999999999999996
1772908012.6141703,0.13,-0.5235987755982988,-29.999999999999996
1772908012.636838,0.13,-0.5235987755982988,-29.999999999999996
1772908012.6561053,0.13,-0.5235987755982988,-29.999999999999996
1772908012.6743658,0.13,-0.5235987755982988,-29.999999999999996
1772908012.700095,0.13,-0.5235987755982988,-29.999999999999996
1772908012.7342858,0.13,-0.5235987755982988,-29.999999999999996
1772908012.7549987,0.13,-0.5235987755982988,-29.999999999999996
1772908012.7691836,0.13,-0.5235987755982988,-29.999999999999996
1772908012.7836177,0.13,-0.5235987755982988,-29.999999999999996
1772908012.803308,0.13,-0.5235987755982988,-29.999999999999996
1772908012.8177798,0.13,-0.5235987755982988,-29.999999999999996
1772908012.8596437,0.13,-0.5235987755982988,-29.999999999999996
1772908012.897356,0.13,-0.5235987755982988,-29.999999999999996
1772908012.9292967,0.13,-0.5235987755982988,-29.999999999999996
1772908012.962637,0.13,-0.5235987755982988,-29.999999999999996
1772908012.9884953,0.13,-0.5235987755982988,-29.999999999999996
1772908013.014936,0.13,-0.5235987755982988,-29.999999999999996
1772908013.045053,0.13,-0.5235987755982988,-29.999999999999996
1772908013.0582209,0.13,-0.5235987755982988,-29.999999999999996
1772908013.082504,0.13,-0.5235987755982988,-29.999999999999996
