timestamp,velocity_mps,steering_angle_rad,steering_angle_deg
1772318539.6192813,0.13,0.3839724354387525,21.999999999999996
1772318539.6712213,0.13,0.3839724354387525,21.999999999999996
1772318539.7668667,0.13,0.3839724354387525,21.999999999999996
1772318539.8000503,0.13,0.3141592653589793,18.0
1772318539.8393676,0.13,0.3141592653589793,18.0
1772318539.8633597,0.13,0.3141592653589793,18.0
1772318539.9123394,0.13,0.2617993877991494,14.999999999999998
1772318539.9627507,0.13,0.2617993877991494,14.999999999999998
1772318539.986946,0.13,0.22689280275926285,13.000000000000002
1772318540.0287938,0.13,0.22689280275926285,13.000000000000002
1772318540.1218197,0.13,0.22689280275926285,13.000000000000002
1772318540.1914828,0.13,0.17453292519943295,10.0
1772318540.2118661,0.13,0.17453292519943295,10.0
1772318540.2330825,0.13,0.17453292519943295,10.0
1772318540.2476919,0.13,0.17453292519943295,10.0
1772318540.2694812,0.13,0.17453292519943295,10.0
1772318540.3383992,0.13,0.17453292519943295,10.0
1772318540.3800652,0.13,0.17453292519943295,10.0
1772318540.4372523,0.13,0.17453292519943295,10.0
1772318540.4569988,0.13,0.17453292519943295,10.0
1772318540.524703,0.13,0.17453292519943295,10.0
1772318540.5561008,0.13,0.12217304763960307,7.0
1772318540.599959,0.13,0.12217304763960307,7.0
1772318540.6826754,0.13,0.12217304763960307,7.0
1772318540.712944,0.13,0.12217304763960307,7.0
1772318540.7430363,0.13,0.12217304763960307,7.0
1772318540.766091,0.13,0.12217304763960307,7.0
1772318540.8087416,0.13,0.12217304763960307,7.0
1772318540.8650553,0.13,0.10471975511965978,6.0
1772318540.9016247,0.13,0.10471975511965978,6.0
1772318540.915972,0.13,0.10471975511965978,6.0
1772318540.961044,0.13,0.10471975511965978,6.0
1772318541.0018873,0.13,0.10471975511965978,6.0
1772318541.0243256,0.13,0.10471975511965978,6.0
1772318541.0466092,0.13,0.10471975511965978,6.0
1772318541.0692496,0.13,0.10471975511965978,6.0
1772318541.132636,0.13,0.10471975511965978,6.0
1772318541.1605608,0.13,0.08726646259971647,5.0
1772318541.1801782,0.13,0.08726646259971647,5.0
1772318541.2098696,0.13,0.08726646259971647,5.0
1772318541.24457,0.13,0.08726646259971647,5.0
1772318541.2924209,0.13,0.08726646259971647,5.0
1772318541.361637,0.13,0.08726646259971647,5.0
1772318541.4109752,0.13,0.08726646259971647,5.0
1772318541.4449937,0.13,0.08726646259971647,5.0
1772318541.4686878,0.13,0.08726646259971647,5.0
1772318541.493234,0.13,0.08726646259971647,5.0
1772318541.5081065,0.13,0.08726646259971647,5.0
1772318541.5297537,0.13,0.13962634015954636,8.0
1772318541.553109,0.13,0.13962634015954636,8.0
1772318541.5740497,0.13,0.13962634015954636,8.0
1772318541.6547012,0.13,0.13962634015954636,8.0
1772318541.7282543,0.13,0.13962634015954636,8.0
1772318541.746527,0.10400000000000001,0.20943951023931956,12.0
1772318541.7645345,0.10400000000000001,0.20943951023931956,12.0
1772318541.7998762,0.10400000000000001,0.20943951023931956,12.0
1772318541.8461797,0.10400000000000001,0.20943951023931956,12.0
1772318541.9098773,0.10400000000000001,0.20943951023931956,12.0
1772318541.9811323,0.10400000000000001,0.20943951023931956,12.0
